loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.0002671171575, 37.563299633404846]",원룸,23.1,9,20,True,True,개별 난방,False,True,True,False,False,True,False,False,True,False,True,False,True,True,8800.0
"[126.98699326657359, 37.56034364819365]",원룸,6.6,4,5,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,False,True,True,False,False,2535
"[127.01105875668466, 37.55176635006343]",투룸,62.7,4,5,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12000.0
"[126.9684593819662, 37.55892738848226]",원룸,9.9,2,4,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,False,True,True,False,False,3510
"[127.00839739394867, 37.55482996243095]",원룸,18.2,1,3,True,False,개별 난방,False,True,True,True,True,True,False,True,True,True,False,False,True,False,6800.0
"[127.02026553835462, 37.566451381089834]",원룸,14.8,2,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,False,False,3937.0
"[126.9885464018, 37.5584156754]",1.5룸,39.6,-1,1,True,False,개별 난방,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5500.0
"[127.01232262187528, 37.55730916326584]",원룸,16.5,0,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,4300.0
"[126.96822769418286, 37.56081941992014]",원룸,30.8,4,39,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,True,10300.0
"[127.0002671171575, 37.563299633404846]",오피스텔,28.0,4,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,False,True,8700.0
"[127.0123583056, 37.5540835881]",투룸,24.1,4,6,True,True,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,False,False,11600.0
"[127.0135983820167, 37.552537339307186]",원룸,19.8,3,4,False,False,개별 난방,False,True,True,False,False,False,True,False,True,False,True,False,False,False,4700
"[127.0002671171575, 37.563299633404846]",원룸,23.1,11,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8600.0
